Unique City,No. of Charge Stations
"PAWLEYS ISLAND, SC",2
"PAWLING, NY",1
"PAWNEE, IL",1
"PAWTUCKET, RI",2
"PAYSON, AZ",2
"PEABODY, MA",3
"PEACHTREE CITY, GA",5
"PEACHTREE CORNERS, GA",4
"PEARISBURG, VA",1
"PEARL CITY, HI",4
"PEARL RIVER, NY",2
"PEARL, MS",1
"PEARLAND, TX",6
"PEBBLE BEACH, CA",2
"PECONIC, NY",2
"PECOS, TX",3
"PEEKSKILL, NY",2
"PELLA, IA",1
"PEMBROKE PINES, FL",7
"PEMBROKE, NC",2
"PENDLETON, OR",1
"PENFIELD, NY",1
"PENN YAN, NY",2
"PENNSAUKEN, NJ",1
"PENSACOLA BEACH, FL",5
"PENSACOLA, FL",4
"PEORIA, AZ",7
"PEORIA, IL",9
"PEQUANNOCK TOWNSHIP, NJ",1
"PEQUOT LAKES, MN",1
"PERRIS, CA",3
"PERRY, FL",3
"PERRY, MI",1
"PERRY, NY",1
"PERRY, OK",1
"PERRY, UT",1
"PERRYSBURG, OH",2
"PERRYTON, TX",1
"PERTH AMBOY, NJ",1
"PERU, IL",2
"PERU, VT",2
"PETALUMA, CA",16
"PETERSBURG, VA",2
"PETOSKEY, MI",2
"PETRIFIED FOREST NATIONAL PARK, AZ",1
"PEWAUKEE, WI",1
"PFLUGERVILLE, TX",3
"PHENIX CITY, AL",4
"PHEONIX, AZ",1
"PHILADELPHIA, PA",60
"PHILIPSBURG, MT",1
"PHILIPSBURG, PA",1
"PHILLIPS, ME",1
"PHILLIPS, WI",1
"PHILO, CA",5
"PHILOMATH, OR",1
"PHIPPSBURG, ME",1
"PHOENIX, AZ",134
"PHOENIXVILLE, PA",7
"PICAYUNE, MS",1
"PICKWICK DAM, TN",1
"PICO RIVERA, CA",2
"PIEDMONT, CA",1
"PIEDMONT, OK",1
"PIEDMONT, SC",1
"PIERMONT, NY",1
"PIERRE, SD",1
"PIGEON FORGE, TN",16
"PIKESVILLE, MD",1
"PIKEVILLE, KY",1
"PINE BLUFF, AR",1
"PINE CITY, MN",2
"PINE PLAINS, NY",1
"PINE RIVER, MN",1
"PINECREST, FL",5
"PINEDALE, WY",1
"PINEHURST, NC",1
"PINELLAS PARK, FL",3
"PINETOP, AZ",1
"PINEVILLE, LA",1
"PINOLE, CA",1
"PIPESTEM, WV",2
"PIPESTONE, MN",1
"PISCATAWAY, NJ",2
"PISMO BEACH, CA",15
"PITKIN, CO",2
"PITTSBORO, NC",5
"PITTSBURG, CA",8
"PITTSBURG, KS",3
"PITTSBURGH, PA",90
"PITTSFIELD, IL",1
"PITTSFIELD, MA",4
"PITTSFIELD, ME",2
"PITTSFORD, NY",3
"PLACENTIA, CA",6
"PLACERVILLE, CA",14
"PLAIN CITY, OH",2
"PLAINFIELD, IN",1
"PLAINFIELD, NH",1
"PLAINFIELD, VT",1
"PLAINSBORO, NJ",2
"PLAINVIEW, MN",1
"PLAINVIEW, NY",2
"PLAINVILLE, CT",2
"PLAINVILLE, MA",2
"PLANO, TX",40
"PLANT CITY, FL",4
"PLANTATION, FL",2
"PLATTE CITY, MO",2
"PLATTEKILL, NY",1
"PLATTSBURGH, NY",11
"PLATTSMOUTH, NE",1
"PLAYA DEL REY, CA",2
"PLAYA VISTA, CA",4
"PLEASANT GROVE, UT",1
"PLEASANT HILL, CA",10
"PLEASANT HILL, MO",1
"PLEASANT HILLS, PA",1
"PLEASANT PRAIRIE, WI",3
"PLEASANT VALLEY, NY",1
"PLEASANTON, CA",45
"PLEASANTVILLE, NY",1
"PLOVER, WI",3
"PLYMOUTH MEETING, PA",4
"PLYMOUTH, CA",6
"PLYMOUTH, IN",2
"PLYMOUTH, MA",15
"PLYMOUTH, MI",1
"PLYMOUTH, NC",1
"PLYMOUTH, NH",1
"PLYMOUTH, WI",1
"POCAHONTAS, AR",1
"POCATELLO, ID",2
"POCONO MANOR, PA",1
"POINT ARENA, CA",2
"POINT CLEAR, AL",2
"POINT HARBOR, NC",1
"POINT LOOKOUT, NY",1
"POINT OF ROCKS, MD",1
"POINT REYES STATION, CA",1
"POLAND, ME",2
"POLLOCK PINES, CA",2
"POMFRET, CT",1
"POMONA, CA",8
"POMPANO BEACH, FL",4
"POMPTON PLAINS, NJ",1
"PONCA CITY, OK",2
"PONCHA SPRINGS, CO",1
"PONCHATOULA, LA",1
"PONTIAC, IL",1
"PONTIAC, MI",2
"POOLER, GA",6
"POOLESVILLE, MD",2
"POPLAR BLUFF, MO",1
"PORT ANGELES, WA",11
"PORT ARANSAS, TX",3
"PORT ARTHUR, TX",1
"PORT CHARLOTTE, FL",3
"PORT CHESTER, NY",2
"PORT CLINTON, OH",2
"PORT DEPOSIT, MD",1
"PORT HUENEME, CA",5
"PORT HURON, MI",2
"PORT JEFFERSON STATION, NY",1
"PORT JEFFERSON, NY",1
"PORT JERVIS, NY",1
"PORT LAVACA, TX",1
"PORT OF HUENEME, CA",1
"PORT ORANGE, FL",2
"PORT ORCHARD, WA",3
"PORT ORFORD, OR",2
"PORT ST LUCIE, FL",2
"PORT ST. LUCIE, FL",3
"PORT TOWNSEND, WA",6
"PORTAGE, IN",3
"PORTAGE, MI",3
"PORTAGE, WI",1
"PORTER RANCH, CA",1
"PORTER, IN",1
"PORTER, OK",1
"PORTERSVILLE, PA",1
"PORTERVILLE, CA",2
"PORTEVILLE, CA",1
"PORTLAND, ME",17
"PORTLAND, OR",143
"PORTLAND, TN",1
"PORTOLA VALLEY, CA",3
"PORTSMOUTH, NH",9
"PORTSMOUTH, RI",2
"PORTSMOUTH, VA",3
"POST FALLS, ID",1
"POTOMAC, MD",5
"POTSDAM, NY",3
"POUGHKEEPSIE, NY",11
"POULSBO, WA",5
"POWAY, CA",5
"POWDERLY, KY",1
"POWELL, OH",4
"POWELL, TN",1
"POWELLS POINT, NC",1
"PRAIRIE CITY, OR",1
"PRAIRIE DU SAC, WI",1
"PRAIRIE VILLAGE, KS",3
"PRATTVILLE, AL",5
"PRESCOTT VALLEY, AZ",1
"PRESCOTT, AZ",5
"PRESQUE ISLE, MI",1
"PREWITT, NM",1
"PRICE, UT",3
"PRIMM, NV",1
"PRINCE FREDERICK, MD",2
"PRINCE GEORGE, VA",1
"PRINCETON, KY",1
"PRINCETON, MA",1
"PRINCETON, NJ",9
"PRINCEVILLE, HI",3
"PRIOR LAKE, MN",1
"PROSSER, WA",2
"PROVIDENCE, RI",39
"PROVIDENCE, UT",1
"PROVINCETOWN, MA",3
"PROVO, UT",8
"PRYOR, OK",1
"PT. REYES, CA",1
"PUEBLO WEST, CO",3
"PUEBLO, CO",11
"PUKALANI, HI",2
"PULASKI, TN",1
"PULLMAN, WA",7
"PURCELL, OK",1
"PURCELLVILLE, VA",1
"PUTNAM, CT",3
"PUTNEY, VT",2
"PUYALLUP, WA",10
"PÃÂHOA, HI",1
"QUAKERTOWN, PA",3
"QUARTZSITE, AZ",1
"QUECHEE, VT",4
"QUEEN CREEK, AZ",1
"QUEENS, NY",10
"QUEENSBURY, NY",14
"QUEENSTOWN, MD",1
"QUINAULT, WA",1
"QUINCY, CA",1
"QUINCY, IL",5
"QUINCY, MA",10
"QUINCY, WA",2
"RABUN GAP, GA",2
"RACINE, WI",1
"RADCLIFF, KY",1
"RADFORD, VA",1
"RADNOR, PA",2
"RAEFORD, NC",1
"RAHWAY, NJ",3
"RAINIER, OR",1
"RALEIGH, NC",81
"RAMONA, CA",3
"RAMSEY, MN",1
"RAMSEY, NJ",2
"RANCHO CORDOVA, CA",5
"RANCHO CUCAMONGA, CA",23
"RANCHO MIRAGE, CA",9
"RANCHO MISSION VIEJO, CA",1
"RANCHO MURIETA, CA",1
"RANCHO PALOS VERDES, CA",2
"RANCHO SANTA FE, CA",2
"RANCHO SANTA MARGARITA, CA",1
"RANCHOS DE TAOS, NM",1
"RANDALLSTOWN, MD",2
"RANDOLPH CENTER, VT",1
"RANDOLPH, MA",2
"RANDOLPH, NJ",1
"RANGELEY, ME",1
"RANKIN, PA",1
"RAPHINE, VA",1
"RAPID CITY, SD",7
"RATON, NM",1
"RAWLINS, WY",1
"RAWSONVILLE, VT",1
"RAYMOND, OH",2
"RAYMORE, MO",2
"RAYNHAM, MA",3
"RAYTOWN, MO",2
"READING, MA",1
"READING, PA",4
"RED BANK, NJ",5
"RED BLUFF, CA",3
"RED HOOK, NY",5
"RED LODGE, MT",2
"RED WING, MN",3
"REDDING, CA",9
"REDFORD, MI",2
"REDINGTON SHORES, FL",2
"REDLANDS, CA",9
"REDMOND, OR",5
"REDMOND, WA",19
"REDONDO BEACH, CA",8
"REDWOOD CITY, CA",65
"REEDLEY, CA",3
"REEDLY, CA",1
"REEDSBURG, WI",1
"REEDSPORT, OR",3
"REEDSVILLE, PA",1
"REEDVILLE, VA",1
"REGO PARK, NY",3
"REHOBOTH BEACH, DE",9
"REHOBOTH, DE",1
"REIDSVILLE, NC",1
"RENO, NV",50
"RENSSELAER, NY",5
"RENTON, WA",30
"REPUBLIC, WA",1
"RESCUE, CA",1
"RESEARCH TRIANGLE PARK, NC",1
"RESEDA, CA",5
"RESTON, VA",23
"REVA, VA",1
"REVERE, MA",4
"REYNOLDSBURG, OH",4
"RHINEBECK, NY",4
"RHINELANDER, WI",2
"RIALTO, CA",3
"RICH HILL, MO",2
"RICHARDSON, TX",5
"RICHFIELD, MN",1
"RICHFIELD, PA",1
"RICHFIELD, UT",5
"RICHLAND CENTER, WI",1
"RICHLAND, MO",1
"RICHLAND, WA",6
"RICHMOND HEIGHTS, MO",1
"RICHMOND HEIGHTS, OH",2
"RICHMOND HILL, GA",1
"RICHMOND, CA",19
"RICHMOND, IN",1
"RICHMOND, KY",4
"RICHMOND, MO",1
"RICHMOND, TX",1
"RICHMOND, VA",53
"RICHMOND, VT",1
"RICHMOND,, CA",1
"RICHWOOD, TX",1
"RICKREALL, OR",1
"RICO, CO",1
"RIDGEDALE, MO",4
"RIDGEFIELD, CT",3
"RIDGEFIELD, NJ",1
"RIDGEFIELD, WA",7
"RIDGELAND, MS",2
"RIDGEWAY, VA",1
"RIDGWAY, CO",1
"RIDLEY PARK, PA",1
"RIFLE, CO",1
"RIO DELL, CA",1
"RIO RANCHO, NM",4
"RIO VISTA, CA",1
"RIPON, CA",1
"RITZVILLE, WA",3
"RIVER FALLS, WI",1
"RIVER GROVE, IL",2
"RIVERDALE PARK, MD",2
"RIVERDALE, MD",1
"RIVERDALE, UT",1
"RIVERHEAD, NY",11
"RIVERIA BEACH, FL",1
"RIVERSIDE, CA",70
"RIVERSIDE, MO",5
"RIVERSIDE, OH",1
"RIVERTON, UT",4
"RIVERTON, WY",3
"RIVERVIEW, FL",5
"RIVIERA BEACH, FL",2
"ROANOKE RAPIDS, NC",5
"ROANOKE, IN",2
"ROANOKE, TX",1
"ROANOKE, VA",11
"ROANOKE, WV",2
"ROBBINSDALE, MN",2
"ROBBINSVILLE, NC",4
"ROBBINSVILLE, NJ",1
"ROBINSONILLE, MS",1
"ROBINSONVILLE, MS",1
"ROCHE HARBOR, WA",1
"ROCHELLE PARK, NJ",2
"ROCHEPORT, MO",1
"ROCHESTER HILLS, MI",3
"ROCHESTER, ME",1
"ROCHESTER, MI",2
"ROCHESTER, MN",14
"ROCHESTER, NH",2
"ROCHESTER, NY",66
"ROCHESTER, WA",1
"ROCK HILL, NY",1
"ROCK HILL, SC",11
"ROCK ISLAND, IL",1
"ROCK SPRINGS, WY",3
"ROCK VALLEY, IA",1
"ROCKAWAY, NJ",2
"ROCKBRIDGE, OH",1
"ROCKFORD, IL",7
"ROCKFORD, MI",2
"ROCKFORD, MN",1
"ROCKINGHAM, NC",1
"ROCKLAND, MA",4
"ROCKLAND, ME",4
"ROCKLIN, CA",8
"ROCKPORT, TX",3
"ROCKPORT, WA",1
"ROCKVILLE CENTRE, NY",1
"ROCKVILLE, MD",40
"ROCKWALL, TX",6
"ROCKY HILL, CT",2
"ROCKY MOUNT, NC",6
"ROCKY MOUNT, VA",1
"ROCKY RIVER, OH",2
"ROCKYHILL, CT",1
"RODANTHE, NC",1
"RODEO, NM",1
"ROELAND PARK, KS",1
"ROGERS CITY, MI",1
"ROGERS, AR",7
"ROGERSVILLE, TN",1
"ROHNERT PARK, CA",11
"ROLAND, OK",1
"ROLESVILLE, NC",1
"ROLLA, MO",1
"ROLLING HILLS ESTATES, CA",5
"ROLLING MEADOW, IL",1
"ROLLING MEADOWS, IL",2
"ROME, GA",5
"ROME, NY",6
"ROMEOVILLE, IL",2
"ROMNEY, WV",1
"ROMULUS, MI",4
"RONCEVERTE, WV",1
"RONKONKOMA, NY",1
"RONKS, PA",1
"ROSALIA, WA",1
"ROSCOE, NY",1
"ROSEBURG, OR",7
"ROSEDALE, MD",3
"ROSELAND, NJ",1
"ROSELLE, NJ",1
"ROSEMEAD, CA",8
"ROSEMONT, IL",8
"ROSEMOUNT, MN",1
"ROSENBERG, TX",1
"ROSEVILLE, CA",28
"ROSEVILLE, MI",3
"ROSEVILLE, MN",8
"ROSLYN, PA",1
"ROSSLYN, VA",1
"ROSWELL, GA",15
"ROSWELL, NM",1
"ROUND ROCK, TX",14
"ROUND TOP, TX",1
"ROUSES POINT, NY",1
"ROWLAND HEIGHTS, CA",2
"ROWLETT, TX",2
"ROXBORO, NC",1
"ROXBURY TOWNSHIP, NJ",1
"ROXBURY, CT",1
"ROXBURY, MA",1
"ROXBURY, VT",1
"ROY, UT",3
"ROYAL OAK, MI",5
"ROYAL PALM BEACH, FL",1
"ROYALTON, VT",2
"ROYSE CITY, TX",1
"RTE 47, WASHINGTON, CT",1
"RUBY, NY",1
"RUIDOSO, NM",2
"RUNNING SPRINGS, CA",1
"RUSH, NY",1
"RUSHVILLE, IN",2
"RUSSELLS POINT, OH",1
"RUSSELLVILLE, AR",2
"RUSTON, LA",2
"RUTHERFORD, CA",3
"RUTHERFORD, NJ",6
"RUTLAND, VT",8
"RYE BROOK, NY",1
"RYE, NY",4
"SABILLASVILLE, MD",1
"SACO, ME",2
"SACRAMENTO, CA",124
"SACRANEMTO, CA",1
"SADDLE BROOK, NJ",1
"SAFETY HARBOR, FL",1
"SAFFORD, AZ",1
"SAG HARBOR, NY",4
"SAGAMORE BEACH, MA",1
"SAGINAW, MI",1
"SAINT AUGUSTINE, FL",1
"SAINT CHARLES, MD",1
"SAINT CLOUD, FL",5
"SAINT GEORGE, UT",2
"SAINT HELENA, CA",7
"SAINT JOHNSBURY, VT",1
"SAINT LOUIS COUNTY, MO",1
"SAINT LOUIS PARK, MN",2
"SAINT LOUIS, MO",3
"SAINT PAUL, MN",19
"SAINT PETE BEACH, FL",2
"SAINT PETERS, MO",1
"SAINT PETERSBURG, FL",2
"SAINT SIMONS ISLAND, GA",1
"SALADO, TX",1
"SALAMANCA, NY",2
"SALEM, IL",1
"SALEM, MA",8
"SALEM, NH",4
"SALEM, OR",35
"SALEM, VA",3
"SALIDA, CA",1
"SALIDA, CO",6
"SALINA, KS",3
"SALINA, UT",1
"SALINAS, CA",26
"SALINE, MI",4
"SALISBURY, CT",1
"SALISBURY, MA",2
"SALISBURY, MD",8
"SALISBURY, NC",4
"SALLISAW, OK",1
"SALMON, ID",1
"SALT LAKE CITY, UT",108
"SALTESE, MT",1
"SALUDA, NC",1
"SAMMAMISH, WA",5
"SAN ANGELO, TX",1
"SAN ANSELMO, CA",5
"SAN ANTONIO, TX",89
"SAN ARDO, CA",1
"SAN BERNARDINO, CA",18
"SAN BRUNO, CA",10
"SAN CARLOS, CA",8
"SAN CLEMENTE, CA",7
"SAN DIEGO, CA",316
"SAN DIMAS, CA",6
"SAN FERNANDO, CA",8
"SAN FRANCISCO, CA",216
"SAN GABRIEL, CA",3
"SAN JACINTO, CA",2
"SAN JOAQUIN, CA",1
"SAN JOSE, CA",171
"SAN JUAN BAUTISTA, CA",1
"SAN JUAN CAPISTRANO, CA",3
"SAN JUAN, PR",1
"SAN JUAN, TX",1
"SAN LEANDRO, CA",16
"SAN LUIS OBISPO, CA",21
"SAN MARCOS, CA",12
"SAN MARCOS, TX",7
"SAN MARTIN, CA",1
"SAN MATEO, CA",37
"SAN MIGUEL, CA",1
"SAN PABLO, CA",5
"SAN PEDRO, CA",10
"SAN RAFAEL, CA",32
"SAN RAMON, CA",19
"SAN SIMEON, CA",3
"SAN YSIDRO, CA",1
"SAND SPRINGS, OK",2
"SANDESTIN, FL",1
"SANDPOINT, ID",2
"SANDSTON, VA",1
"SANDUSKY, OH",3
"SANDWICH, MA",2
"SANDY SPRINGS, GA",19
"SANDY, OR",2
"SANDY, UT",14
"SANFORD, FL",9
"SANFORD, NC",4
"SANGER, CA",4
"SANIBEL, FL",1
"SANTA ANA, CA",39
"SANTA BARBARA, CA",41
"SANTA CLARA, CA",71
"SANTA CLARITA, CA",15
"SANTA CLAUS, IN",3
"SANTA CRUZ, CA",24
"SANTA FE SPRINGS, CA",3
"SANTA FE, NM",37
"SANTA MARGARITA, CA",1
"SANTA MARIA, CA",13
"SANTA MONICA, CA",75
"SANTA PAULA, CA",1
"SANTA ROSA BEACH, FL",1
"SANTA ROSA, CA",51
"SANTA ROSA, NM",2
"SANTA YNEZ, CA",5
"SANTA YSABEL, CA",2
"SANTAQUIN, UT",1
"SANTEE, CA",2
"SANTEE, SC",2
"SAPULPA, OK",1
"SARALAND, AL",1
"SARANAC LAKE, NY",6
"SARASOTA, FL",47
"SARATOGA SPRINGS, NY",37
"SARATOGA SPRINGS, UT",2
"SARATOGA, CA",3
"SARGENTS, CO",1
"SATELLITE BEACH, FL",2
"SAUGATUCK, MI",1
"SAUGERTIES, NY",7
"SAUGUS, MA",2
"SAUKVILLE, WI",1
"SAULT ST. MARIE, MI",1
"SAUSALITO, CA",5
"SAUTEE NACOOCHEE, GA",3
"SAVAGE, MD",1
"SAVAGE, MN",1
"SAVANNAH, GA",26
"SAVANNAH, TN",2
"SAVOY, IL",1
"SAYRE, PA",1
"SCAPPOOSE, OR",2
"SCARBOROUGH, ME",4
"SCARSDALE, NY",2
"SCHAUMBURG, IL",10
"SCHENECTADY, NY",31
"SCHERERVILLE, IN",3
"SCHERTZ, TX",1
"SCHILLER PARK, IL",6
"SCHROON LAKE, NY",2
"SCHURZ, NV",1
"SCIPIO, UT",1
"SCITUATE, MA",1
"SCOTIA, NY",3
"SCOTT'S VALLEY, CA",1
"SCOTT, LA",2
"SCOTTS VALLEY, CA",3
"SCOTTSBLUFF, NE",2
"SCOTTSDALE, AZ",77
"SCOTTSVILLE, NY",1
"SCRANTON, PA",1
"SEA ISLAND, GA",1
"SEA RANCH, CA",1
"SEA TAC, WA",1
"SEABROOK, NH",2
"SEAGROVE BEACH, FL",1
"SEAL BEACH, CA",4
"SEAL COVE, ME",1
"SEAL ROCK, OR",1
"SEARSPORT, ME",1
"SEASIDE HEIGHTS, NJ",2
"SEASIDE, CA",11
"SEASIDE, OR",3
"SEATAC, WA",7
"SEATTLE, WA",220
"SEAVIEW, WA",1
"SEBAGO, ME",1
"SEBASTOPOL, CA",5
"SEBEKA, MN",1
"SEBRING, FL",10
"SECAUCUS, NJ",6
"SEDALIA, MO",4
"SEDONA, AZ",18
"SEEKONK, MA",1
"SEFFNER, FL",1
"SEGUIN, TX",3
"SEILING, OK",2
"SELDEN, NY",2
"SELLERS, SC",2
"SELLERSVILLE, PA",2
"SELMA, CA",5
"SELMA, NC",1
"SELMA, TX",1
"SEMINOLE, FL",2
"SEMINOLE, OK",1
"SENECA, KS",1
"SENECA, SC",2
"SEPULVEDA, CA",1
"SEQUIM, WA",6
"SETAUKET- EAST SETAUKET, NY",1
"SEVEN POINTS, TX",1
"SEVIERVILLE, TN",4
"SEWARD, NE",5
"SEYMOUR, CT",1
"SEYMOUR, WI",1
"SF, CA",4
"SHAKER HEIGHTS, OH",2
"SHAKOPEE, MN",3
"SHALLOTTE, NC",1
"SHAMROCK, TX",1
"SHANDON, CA",1
"SHARON, MA",1
"SHARONVILLE, OH",1
"SHARPSBURG, MD",1
"SHARPSVILLE, PA",1
"SHAWNEE, KS",8
"SHAWNEE, OK",3
"SHEBOYGAN, WI",6
"SHEFFIELD VILLAGE, OH",2
"SHEFFIELD, OH",2
"SHELBURNE FALLS, MA",2
"SHELBURNE, VT",4
"SHELBY, IA",1
"SHELBY, NC",1
"SHELBY, OH",2
"SHELBYVILLE, TN",1
"SHELDON, IA",1
"SHELTER ISLAND, NY",2
"SHELTON, CT",3
"SHELTON, WA",3
"SHENANDOAH, TX",1
"SHEPHERDSTOWN, WV",4
"SHEPHERDSVILLE, KY",3
"SHERBURN, MN",1
"SHERIDAN, WY",3
"SHERMAN OAKS, CA",10
"SHERMAN, TX",3
"SHERWOOD, OR",8
"SHINGLE SPRINGS, CA",1
"SHINGLETOWN, CA",1
"SHINNSTON, WV",1
"SHIPPENSBURG, PA",1
"SHIRLEY, MA",1
"SHORELINE, WA",6
"SHOREVIEW, MN",2
"SHOREWOOD HILLS, WI",1
"SHOREWOOD, IL",2
"SHREVEPORT, LA",3
"SHREWSBURY, MA",2
"SIDNEY, NE",1
"SIERRA VISTA, AZ",3
"SIGNAL HILL, CA",3
"SILSBEE, TX",1
"SILT, CO",1
"SILVER CITY, NM",1
"SILVER SPRING, MD",23
"SILVERDALE, WA",4
"SILVERTHORNE, CO",1
"SILVERTON, CO",1
"SILVERTON, OR",2
"SILVIS, IL",2
"SIMI VALLEY, CA",13
"SIMPSONVILLE, SC",1
"SIMSBURY, CT",3
"SIOUX CENTER, IA",1
"SIOUX CITY, IA",3
"SIOUX FALLS, SD",7
"SISTERS, OR",4
"SKAGWAY, AK",1
"SKANEATELES, NY",2
"SKOKIE, IL",6
"SKOWHEGAN, ME",3
"SKYKOMISH, WA",3
"SKYTOP, PA",1
"SLATERVILLE SPRINGS, NY",1
"SLEEPY HOLLOW, NY",1
"SLIDELL, LA",4
"SLINGERLANDS, NY",5
"SMELTERVILLE, ID",1
"SMITH RIVER, CA",1
"SMITHFIELD, NC",5
"SMITHFIELD, RI",3
"SMITHFIELD, VA",1
"SMITHTOWN, NY",4
"SMITHVILLE, MO",1
"SMITHVILLE, TN",1
"SMYRNA, DE",3
"SMYRNA, GA",5
"SMYRNA, TN",12
"SNEADS FERRY, NC",1
"SNELLVILLE, GA",4
"SNOHOMISH, WA",3
"SNOQUALMIE PASS, WA",1
"SNOQUALMIE, WA",1
"SNOW HILL, MD",1
"SNOW HILL, NC",1
"SNOWBIRD, UT",1
"SNOWFLAKE, AZ",1
"SNOWMASS VILLAGE, CO",3
"SNOWSHOE, WV",1
"SOAP LAKE, WA",1
"SOCORRO, NM",1
"SODA SPRINGS, CA",4
"SODUS, NY",1
"SOLANA BEACH, CA",11
"SOLDOTNA, AK",2
"SOLEDAD, CA",2
"SOLOMONS, MD",2
"SOLON, OH",3
"SOLVANG, CA",7
"SOMERDALE, NJ",1
"SOMERS, NY",1
"SOMERSET, CA",2
"SOMERSET, KY",1
"SOMERSET, NJ",1
"SOMERSET, OH",1
"SOMERSET, PA",1
"SOMERSVILLE, CT",1
"SOMERSWORTH, NH",2
"SOMERVILLE, MA",10
"SOMERVILLE, NJ",2
"SOMIS, CA",1
"SONOMA, CA",9
"SONORA, CA",2
"SOUTH BARRINGTON, IL",1
"SOUTH BEND, IN",9
"SOUTH BOSTON, VA",1
"SOUTH BRUNSWICK TOWNSHIP, NJ",1
"SOUTH BRUNSWICK, NJ",1
"SOUTH BURLINGTON, VT",17
"SOUTH CHARLESTON, WV",4
"SOUTH EL MONTE, CA",2
"SOUTH ELGIN, IL",1
"SOUTH GATE, CA",3
"SOUTH GLENS FALLS, NY",1
"SOUTH HAVEN, MI",2
"SOUTH HILL, VA",1
"SOUTH HOLLAND, IL",3
"SOUTH JORDAN, UT",7
"SOUTH KINGSTOWN, RI",4
"SOUTH LAKE TAHOE, CA",21
"SOUTH LONDONDERRY, VT",1
"SOUTH MIAMI, FL",2
"SOUTH NYACK, NY",1
"SOUTH ORANGE, NJ",2
"SOUTH PADRE ISLAND, TX",6
"SOUTH PARIS, ME",3
"SOUTH PASADENA, CA",2
"SOUTH PASADENA, FL",2
"SOUTH PORTLAND, ME",10
"SOUTH RIDING, VA",1
"SOUTH RIVER, NJ",1
"SOUTH ROYALTON, VT",1
"SOUTH SACRAMENTO, CA",1
"SOUTH SALT LAKE CITY, UT",1
"SOUTH SALT LAKE, UT",5
"SOUTH SAN FRANCISCO, CA",28
"SOUTH SIOUX CITY, NE",4
"SOUTH WALES, NY",1
"SOUTH WELLFLEET, MA",1
"SOUTH WINDSOR, CT",1
"SOUTH YARMOTUH, MA",1
"SOUTHAMPTON, NJ",1
"SOUTHAMPTON, NY",5
"SOUTHAVEN, MS",5
"SOUTHBRIDGE, MA",1
"SOUTHBURY, CT",2
"SOUTHERN PINES, NC",4
"SOUTHFIELD, MI",4
"SOUTHGATE, MI",1
"SOUTHHAVEN, MS",1
"SOUTHINGTON, CT",3
"SOUTHLAKE, TX",4
"SOUTHOLD, NY",2
"SOUTHPORT, NC",1
"SOUTHWEST HARBOR, ME",2
"SOUTHWEST RANCHES, FL",1
"SPANAWAY, WA",2
"SPANISH FORK, UT",2
"SPARKILL, NY",1
"SPARKS GLENCOE, MD",1
"SPARKS, MD",1
"SPARKS, NV",13
"SPARTA, NJ",3
"SPARTA, TN",1
"SPARTA, WI",2
"SPARTANBURG, SC",11
"SPEARFISH, SD",2
"SPECULATOR, NY",2
"SPENCER, IN",2
"SPENCER, MA",2
"SPENCER, TN",1
"SPENCERPORT, NY",2
"SPENCERTOWN, NY",1
"SPERRYVILLE, VA",1
"SPICER, MN",1
"SPOKANE VALLEY, WA",7
"SPOKANE, WA",49
"SPRING HOUSE, PA",2
"SPRING VALLEY, NY",2
"SPRING, TX",11
"SPRINGBORO, OH",4
"SPRINGDALE, AR",3
"SPRINGDALE, UT",7
"SPRINGFIELD TOWNSHIP, NJ",1
"SPRINGFIELD, IL",9
"SPRINGFIELD, MA",15
"SPRINGFIELD, MN",1
"SPRINGFIELD, MO",31
"SPRINGFIELD, NJ",2
"SPRINGFIELD, OH",2
"SPRINGFIELD, OR",5
"SPRINGFIELD, PA",2
"SPRINGFIELD, VA",13
"SPRINGFIELD, VT",3
"SPRINGVILLE, NY",2
"SPRINGVILLE, UT",2
"SPUR, TX",1
"ST  MICHAELS, MD",1
"ST ALBANS CITY, VT",1
"ST AUGUSTINE BEACH, FL",1
"ST AUGUSTINE, FL",4
"ST CHARLES, IL",1
"ST CHARLES, MO",2
"ST CLAIR, MI",2
"ST GEORGE, UT",3
"ST HELENA, CA",12
"ST HELENS, OR",1
"ST JAMES, MO",1
"ST JOHNSBURY, VT",1
"ST JOSEPH, MO",22
"ST LOUIS PARK, MN",2
"ST LOUIS, MO",5
"ST MARYS, GA",1
"ST MICHAELS, MD",1
"ST PAUL, MN",12
"ST PETE BEACH, FL",8
"ST PETERSBURG, FL",54
"ST SIMONS ISLAND, GA",2
"ST. ALBANS, VT",3
"ST. ALBANS, WV",1
"ST. AUGUSTINE, FL",14
"ST. CHARLES, IL",5
"ST. CHARLES, MO",3
"ST. CLAIR SHORES, MI",1
"ST. CLOUD, MN",2
"ST. GEORGE, ME",1
"ST. GEORGE, UT",6
"ST. HELENA, CA",14
"ST. HELENS, OR",1
"ST. JAMES, NY",1
"ST. JOHNS, FL",1
"ST. JOHNS, MI",1
"ST. JOHNSBURY, VT",1
"ST. JOSEPH, MI",1
"ST. JOSEPH, MO",2
"ST. LOUIS PARK, MN",6
"ST. LOUIS, MO",28
"ST. MEINRAD, IN",1
"ST. MICHAEL, MN",1
"ST. MICHAELS, MD",3
"ST. PAUL, MN",14
"ST. PETE BEACH, FL",1
"ST. PETER, MN",1
"ST. PETERS, MO",2
"ST. PETERSBURG, FL",9
